iter	Passed	Remaining
0	60	60832
1	74	37007
2	86	28866
3	99	24769
4	111	22149
5	122	20256
6	133	18883
7	144	17868
8	156	17178
9	166	16512
10	177	15994
11	188	15494
12	199	15154
13	209	14779
14	218	14379
15	229	14117
16	238	13805
17	250	13654
18	260	13456
19	270	13231
20	279	13050
21	288	12826
22	298	12661
23	307	12485
24	316	12358
25	326	12232
26	335	12106
27	345	12004
28	355	11908
29	365	11820
30	375	11726
31	385	11652
32	394	11556
33	403	11468
34	413	11401
35	423	11331
36	432	11260
37	442	11212
38	452	11139
39	460	11061
40	471	11017
41	479	10946
42	489	10902
43	498	10838
44	510	10839
45	521	10808
46	537	10901
47	552	10966
48	565	10975
49	576	10960
50	588	10951
51	602	10992
52	615	10998
53	627	10986
54	639	10983
55	650	10965
56	664	10987
57	675	10974
58	689	10996
59	702	11012
60	714	10991
61	726	10989
62	739	11002
63	753	11016
64	765	11015
65	778	11021
66	790	11009
67	801	10983
68	812	10969
69	823	10943
70	834	10925
71	845	10894
72	856	10880
73	868	10873
74	879	10849
75	889	10820
76	900	10791
77	910	10762
78	922	10756
79	933	10739
80	944	10712
81	954	10689
82	965	10670
83	978	10671
84	991	10667
85	1002	10654
86	1014	10644
87	1026	10641
88	1038	10632
89	1049	10613
90	1060	10591
91	1071	10579
92	1083	10566
93	1094	10547
94	1106	10536
95	1117	10525
96	1128	10506
97	1139	10486
98	1150	10468
99	1163	10468
100	1174	10455
101	1186	10443
102	1198	10437
103	1210	10431
104	1223	10429
105	1234	10412
106	1245	10394
107	1256	10376
108	1267	10361
109	1278	10347
110	1290	10332
111	1300	10310
112	1311	10293
113	1322	10277
114	1334	10272
115	1347	10271
116	1359	10262
117	1371	10249
118	1381	10230
119	1393	10219
120	1404	10202
121	1416	10196
122	1427	10178
123	1438	10164
124	1450	10153
125	1462	10145
126	1472	10121
127	1483	10104
128	1494	10088
129	1505	10072
130	1515	10051
131	1526	10035
132	1537	10022
133	1549	10012
134	1560	9997
135	1571	9986
136	1582	9971
137	1594	9960
138	1606	9948
139	1617	9933
140	1628	9918
141	1638	9900
142	1649	9885
143	1660	9871
144	1671	9858
145	1683	9846
146	1694	9830
147	1705	9818
148	1715	9799
149	1727	9788
150	1738	9773
151	1747	9751
152	1759	9739
153	1769	9719
154	1779	9701
155	1790	9687
156	1801	9672
157	1812	9657
158	1822	9640
159	1833	9624
160	1844	9611
161	1855	9596
162	1865	9581
163	1876	9563
164	1886	9549
165	1897	9535
166	1908	9518
167	1918	9500
168	1928	9485
169	1938	9464
170	1949	9451
171	1959	9432
172	1970	9420
173	1980	9402
174	1989	9380
175	2000	9364
176	2011	9355
177	2023	9342
178	2034	9329
179	2045	9316
180	2056	9307
181	2069	9301
182	2081	9294
183	2093	9284
184	2104	9269
185	2115	9257
186	2125	9242
187	2137	9230
188	2147	9214
189	2158	9203
190	2168	9186
191	2179	9173
192	2190	9158
193	2201	9145
194	2211	9129
195	2221	9111
196	2231	9096
197	2242	9083
198	2252	9067
199	2263	9055
200	2275	9044
201	2285	9028
202	2295	9013
203	2306	8998
204	2316	8984
205	2328	8974
206	2338	8957
207	2348	8941
208	2357	8923
209	2369	8913
210	2380	8902
211	2391	8889
212	2403	8879
213	2413	8865
214	2424	8852
215	2434	8835
216	2444	8819
217	2455	8808
218	2467	8799
219	2477	8784
220	2489	8776
221	2500	8761
222	2511	8751
223	2522	8737
224	2532	8722
225	2542	8708
226	2553	8696
227	2564	8682
228	2574	8669
229	2586	8657
230	2596	8643
231	2606	8629
232	2616	8612
233	2627	8600
234	2638	8588
235	2649	8577
236	2660	8565
237	2671	8552
238	2682	8540
239	2693	8528
240	2704	8518
241	2715	8505
242	2726	8493
243	2738	8483
244	2748	8471
245	2760	8460
246	2771	8447
247	2781	8434
248	2792	8421
249	2803	8410
250	2814	8398
251	2825	8386
252	2836	8373
253	2847	8362
254	2859	8353
255	2870	8343
256	2881	8331
257	2892	8319
258	2902	8304
259	2913	8292
260	2924	8279
261	2934	8266
262	2945	8253
263	2956	8241
264	2968	8232
265	2978	8219
266	2989	8207
267	3000	8195
268	3010	8181
269	3021	8168
270	3031	8155
271	3041	8140
272	3051	8125
273	3061	8111
274	3071	8098
275	3082	8087
276	3093	8073
277	3103	8060
278	3114	8049
279	3124	8033
280	3135	8022
281	3145	8009
282	3156	7997
283	3167	7986
284	3177	7971
285	3187	7958
286	3198	7946
287	3209	7934
288	3221	7925
289	3232	7913
290	3243	7901
291	3254	7890
292	3265	7880
293	3276	7869
294	3287	7857
295	3298	7846
296	3309	7833
297	3321	7824
298	3332	7812
299	3343	7801
300	3355	7791
301	3364	7776
302	3375	7764
303	3386	7753
304	3397	7741
305	3408	7730
306	3419	7718
307	3430	7708
308	3440	7694
309	3451	7683
310	3463	7672
311	3473	7660
312	3485	7649
313	3495	7637
314	3507	7627
315	3518	7615
316	3528	7603
317	3540	7592
318	3550	7580
319	3561	7568
320	3571	7554
321	3582	7543
322	3592	7530
323	3602	7515
324	3613	7504
325	3623	7492
326	3635	7481
327	3647	7471
328	3658	7461
329	3670	7452
330	3681	7441
331	3691	7427
332	3702	7415
333	3712	7402
334	3722	7389
335	3734	7380
336	3745	7369
337	3756	7356
338	3766	7343
339	3777	7332
340	3788	7320
341	3799	7310
342	3810	7299
343	3820	7285
344	3830	7272
345	3841	7261
346	3851	7248
347	3862	7236
348	3874	7227
349	3885	7215
350	3894	7201
351	3905	7189
352	3916	7178
353	3926	7165
354	3937	7153
355	3947	7141
356	3957	7128
357	3968	7115
358	3979	7104
359	3990	7093
360	4001	7082
361	4011	7070
362	4022	7059
363	4034	7048
364	4045	7038
365	4056	7027
366	4068	7017
367	4080	7008
368	4091	6997
369	4103	6987
370	4114	6976
371	4125	6965
372	4136	6954
373	4147	6942
374	4159	6933
375	4170	6921
376	4182	6911
377	4193	6899
378	4204	6889
379	4215	6878
380	4225	6865
381	4236	6853
382	4247	6842
383	4258	6830
384	4269	6820
385	4280	6809
386	4292	6798
387	4302	6787
388	4314	6777
389	4325	6766
390	4337	6755
391	4348	6744
392	4359	6733
393	4369	6720
394	4379	6707
395	4389	6695
396	4400	6684
397	4411	6672
398	4422	6661
399	4433	6649
400	4443	6638
401	4454	6626
402	4465	6615
403	4476	6603
404	4487	6592
405	4497	6580
406	4508	6568
407	4519	6557
408	4532	6548
409	4542	6536
410	4553	6525
411	4565	6515
412	4576	6504
413	4587	6493
414	4599	6483
415	4611	6474
416	4621	6461
417	4632	6449
418	4642	6437
419	4654	6428
420	4664	6415
421	4675	6404
422	4686	6392
423	4697	6381
424	4708	6370
425	4719	6358
426	4729	6346
427	4739	6334
428	4751	6324
429	4762	6312
430	4773	6301
431	4784	6290
432	4794	6278
433	4805	6267
434	4816	6255
435	4826	6242
436	4836	6230
437	4847	6220
438	4859	6209
439	4870	6199
440	4881	6187
441	4892	6175
442	4902	6163
443	4913	6152
444	4925	6142
445	4935	6130
446	4945	6118
447	4956	6106
448	4966	6095
449	4978	6084
450	4989	6073
451	5000	6062
452	5010	6050
453	5021	6039
454	5032	6027
455	5043	6016
456	5054	6005
457	5065	5994
458	5075	5982
459	5086	5970
460	5096	5958
461	5106	5946
462	5117	5935
463	5129	5925
464	5140	5914
465	5152	5904
466	5164	5894
467	5176	5884
468	5188	5873
469	5198	5862
470	5209	5851
471	5220	5840
472	5232	5829
473	5242	5817
474	5253	5806
475	5264	5795
476	5276	5785
477	5287	5774
478	5297	5762
479	5308	5750
480	5319	5739
481	5331	5729
482	5342	5718
483	5352	5706
484	5364	5696
485	5376	5685
486	5387	5674
487	5398	5664
488	5409	5652
489	5420	5641
490	5431	5630
491	5441	5618
492	5452	5607
493	5463	5596
494	5473	5583
495	5483	5572
496	5496	5562
497	5507	5551
498	5520	5542
499	5531	5531
500	5541	5519
501	5552	5507
502	5562	5496
503	5572	5484
504	5582	5472
505	5593	5461
506	5603	5448
507	5614	5437
508	5625	5426
509	5636	5415
510	5647	5404
511	5658	5393
512	5669	5382
513	5680	5370
514	5692	5360
515	5704	5350
516	5715	5339
517	5726	5328
518	5736	5316
519	5747	5305
520	5760	5295
521	5772	5285
522	5781	5273
523	5791	5261
524	5802	5249
525	5811	5237
526	5822	5225
527	5832	5214
528	5844	5203
529	5855	5192
530	5866	5181
531	5876	5169
532	5887	5158
533	5897	5146
534	5907	5134
535	5918	5123
536	5929	5112
537	5939	5100
538	5950	5089
539	5961	5077
540	5971	5066
541	5982	5055
542	5993	5043
543	6003	5032
544	6014	5021
545	6023	5008
546	6035	4997
547	6046	4987
548	6057	4975
549	6069	4965
550	6080	4954
551	6090	4943
552	6100	4931
553	6111	4919
554	6121	4908
555	6131	4896
556	6141	4884
557	6151	4872
558	6161	4861
559	6172	4850
560	6182	4838
561	6193	4827
562	6204	4816
563	6214	4804
564	6225	4793
565	6236	4782
566	6247	4771
567	6258	4760
568	6270	4749
569	6281	4738
570	6290	4726
571	6300	4714
572	6312	4703
573	6323	4692
574	6334	4682
575	6346	4671
576	6357	4661
577	6369	4650
578	6381	4639
579	6391	4628
580	6401	4616
581	6411	4604
582	6421	4592
583	6431	4581
584	6441	4569
585	6452	4558
586	6462	4546
587	6474	4536
588	6483	4524
589	6494	4512
590	6505	4501
591	6516	4491
592	6527	4480
593	6537	4468
594	6547	4457
595	6558	4445
596	6569	4434
597	6580	4423
598	6590	4411
599	6601	4401
600	6613	4390
601	6624	4379
602	6635	4368
603	6645	4357
604	6656	4345
605	6666	4334
606	6676	4322
607	6686	4311
608	6696	4299
609	6706	4287
610	6718	4277
611	6729	4266
612	6740	4255
613	6751	4244
614	6761	4232
615	6772	4221
616	6783	4210
617	6794	4199
618	6804	4187
619	6815	4177
620	6825	4165
621	6836	4154
622	6848	4143
